SK_ID_CURR,TARGET
100001,0.07116060
100005,0.17222678
100013,0.03297240
100028,0.04387260
100038,0.16445616
100042,0.04501302
100057,0.01056097
100065,0.02889305
100066,0.01911446
100067,0.10815945
100074,0.04540245
100090,0.05014204
100091,0.13915196
100092,0.08711459
100106,0.04534469
100107,0.14403179
100109,0.06434932
100117,0.02040464
100128,0.07593561
100141,0.04910983
100150,0.02109425
100168,0.01269656
100169,0.08719789
100170,0.18317368
100171,0.07034732
100172,0.11509211
100184,0.08059607
100187,0.07705975
100212,0.03652816
100222,0.04997165
100223,0.03406200
100232,0.01798570
100241,0.14839654
100245,0.01949928
100253,0.01631975
100256,0.08007448
100271,0.01309919
100278,0.30781152
100280,0.01480082
100306,0.17154496
100311,0.08004487
100312,0.01921101
100330,0.12122432
100331,0.03413233
100352,0.14630033
100358,0.11584297
100367,0.02780217
100382,0.07962178
100384,0.05677820
100385,0.06597857
100386,0.04466853
100399,0.03837413
100404,0.03476498
100416,0.01515680
100422,0.04834969
100426,0.05271442
100438,0.02487104
100444,0.12921559
100445,0.21883381
100446,0.04617463
100447,0.02289278
100450,0.06771080
100466,0.01820397
100483,0.02917957
100484,0.01529799
100494,0.08459701
100510,0.19714837
100512,0.01352345
100517,0.03984416
100548,0.01463608
100551,0.09372611
100552,0.06990182
100553,0.01478645
100561,0.14447339
100568,0.34280794
100569,0.01561724
100591,0.06179016
100592,0.02652362
100602,0.03674600
100607,0.05789926
100613,0.05577791
100617,0.05807671
100618,0.11263243
100622,0.06231870
100625,0.11794295
100677,0.09757476
100699,0.03737686
100702,0.38894063
100711,0.04108361
100729,0.12447192
100740,0.20322678
100744,0.16103453
100745,0.03400484
100747,0.08910242
100751,0.48845564
100752,0.05049851
100753,0.22948102
100754,0.33149960
100760,0.04178169
100762,0.08899380
100763,0.04142030
100765,0.01939771
100770,0.08594658
100772,0.02072423
100777,0.02877662
100791,0.01314780
100792,0.01600920
100797,0.02520833
100823,0.03882644
100826,0.03052692
100830,0.04165324
100836,0.24923516
100872,0.08531243
100910,0.02894547
100913,0.12061380
100918,0.01943307
100931,0.01955510
100952,0.02327999
100953,0.01883717
100965,0.22334055
100970,0.03571696
100982,0.12907091
100983,0.37647285
100984,0.04207240
100987,0.07210905
100997,0.03054642
100998,0.34165545
101002,0.05302655
101005,0.16857549
101008,0.21679906
101020,0.05055430
101021,0.05787978
101024,0.02651651
101025,0.20903561
101026,0.02731711
101031,0.02371112
101041,0.01746408
101051,0.01409159
101055,0.05130890
101056,0.22853216
101057,0.03959168
101064,0.01693356
101079,0.04104571
101087,0.00909306
101090,0.02445393
